Gene,log2FC_G1G3_vs_G2G4,pvalue_ttest,direction
ENSG00000000003.17,-0.005809708949501313,0.984482931559384,Up_in_G2G4
ENSG00000000005.6,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000000419.15,-0.2922494954206355,0.41252827805373116,Up_in_G2G4
ENSG00000000457.15,-0.37588349168965945,0.6374438768046158,Up_in_G2G4
ENSG00000000460.18,0.30233100421624665,0.7422361530345077,Up_in_G1G3
ENSG00000000938.14,-0.19812031259014454,0.3506166628202075,Up_in_G2G4
ENSG00000000971.17,1.3043677277827737,0.10918030808006352,Up_in_G1G3
ENSG00000001036.15,0.3428993618606613,0.41886576575763546,Up_in_G1G3
ENSG00000001167.16,0.6605178013859057,0.2451148723437094,Up_in_G1G3
ENSG00000001460.19,1.3408028946167323,0.13876879237786732,Up_in_G1G3
ENSG00000001497.19,0.7294711893988208,0.31133498983112234,Up_in_G1G3
ENSG00000001561.8,0.3440118304730428,0.49841248333485133,Up_in_G1G3
ENSG00000001617.13,0.31891613676340536,0.6248892649436375,Up_in_G1G3
ENSG00000001629.11,0.9926363255296125,0.0742567400794682,Up_in_G1G3
ENSG00000001630.19,0.5663723012276343,0.2984769103098554,Up_in_G1G3
ENSG00000002016.19,-0.3741561906899048,0.5387807723133478,Up_in_G2G4
ENSG00000002330.15,0.46836820383032834,0.537743591818117,Up_in_G1G3
ENSG00000002549.14,-0.12892268913216542,0.8062671736507036,Up_in_G2G4
ENSG00000002586.20,0.05080578284964261,0.9237329979230053,Up_in_G1G3
ENSG00000002587.10,-0.5731203125901446,0.03950290016749971,Up_in_G2G4
ENSG00000002834.20,0.6863396276218857,0.12370172064873773,Up_in_G1G3
ENSG00000002919.16,0.9266924876428779,0.15637308197936994,Up_in_G1G3
ENSG00000003056.9,0.8745229752115816,0.21092165655218614,Up_in_G1G3
ENSG00000003096.15,2.0653900441379482,0.036574450101415516,Up_in_G1G3
ENSG00000003137.9,-0.25,0.1704706607870538,Up_in_G2G4
ENSG00000003147.20,1.1245427058692585,0.24929622513082422,Up_in_G1G3
ENSG00000003249.16,0.49837433069211884,0.3117897121950606,Up_in_G1G3
ENSG00000003393.17,0.8238110676691929,0.3170446032579386,Up_in_G1G3
ENSG00000003400.17,0.16674322420780682,0.6340182633905873,Up_in_G1G3
ENSG00000003402.22,-0.001963043951053181,0.9970708939449064,Up_in_G2G4
ENSG00000003436.17,0.32677292122972024,0.4901525730114523,Up_in_G1G3
ENSG00000003509.17,0.530414233727784,0.5264442702250529,Up_in_G1G3
ENSG00000003989.19,-1.2572197225420412,0.17497206271797341,Up_in_G2G4
ENSG00000004059.12,0.4045204491867396,0.2854262592763289,Up_in_G1G3
ENSG00000004142.13,0.6113535015563308,0.2696951936645364,Up_in_G1G3
ENSG00000004399.14,0.7971325903934029,0.03863883501851796,Up_in_G1G3
ENSG00000004455.19,-0.3322227729568441,0.5910324813538339,Up_in_G2G4
ENSG00000004478.9,0.4586749067938043,0.37718454854359196,Up_in_G1G3
ENSG00000004487.19,0.9411992311193322,0.05459500972363423,Up_in_G1G3
ENSG00000004534.16,-0.020301375944572108,0.9583733049026366,Up_in_G2G4
ENSG00000004660.15,0.7458098657995476,0.32659767605166035,Up_in_G1G3
ENSG00000004700.17,0.02753677330980512,0.9576156457932188,Up_in_G1G3
