"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000000003.17",24,11,21,25,25,33,17,21,25,30,29,31,8,36,18
"ENSG00000000005.6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000000419.15",59,62,40,146,79,172,47,91,167,131,100,108,74,120,141
"ENSG00000000457.15",9,0,3,31,12,16,2,12,15,24,12,24,1,16,9
"ENSG00000000460.18",3,0,30,6,2,22,10,20,15,2,17,3,0,31,4
"ENSG00000000938.14",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000000971.17",40,13,40,51,37,28,2,15,87,65,82,23,1,42,14
"ENSG00000001036.15",23,13,9,24,21,20,10,28,44,38,11,22,5,21,16
"ENSG00000001167.16",7,4,2,8,9,4,5,8,10,7,5,0,0,3,8
"ENSG00000001460.19",2,0,4,15,1,3,0,13,23,24,18,4,0,1,8
"ENSG00000001497.19",34,28,7,42,64,13,16,40,96,144,35,65,3,26,24
"ENSG00000001561.8",0,2,1,1,0,0,0,3,1,0,5,2,0,3,3
"ENSG00000001617.13",24,6,12,45,45,33,15,36,33,18,51,18,1,18,12
"ENSG00000001629.11",7,7,2,11,3,3,2,10,15,10,3,1,0,4,7
"ENSG00000001630.19",217,195,173,290,263,238,242,173,428,436,268,191,17,220,208
"ENSG00000002016.19",1,3,0,0,0,14,1,3,0,2,1,8,1,1,2
"ENSG00000002330.15",21,23,18,27,19,62,25,28,54,62,41,55,0,45,43
"ENSG00000002549.14",69,98,62,189,201,150,134,227,335,402,292,337,64,398,198
"ENSG00000002586.20",378,314,280,771,539,1325,382,1101,1591,1457,1349,1021,263,1224,917
"ENSG00000002587.10",0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
"ENSG00000002834.20",132,90,68,140,98,105,101,133,192,255,191,145,20,129,54
"ENSG00000002919.16",7,12,10,14,4,8,0,6,8,14,11,5,0,14,12
"ENSG00000003056.9",78,42,29,64,64,50,41,36,95,117,51,59,1,29,30
"ENSG00000003096.15",24,12,0,1,0,1,0,12,12,12,0,0,0,0,12
"ENSG00000003137.9",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000003147.20",10,15,1,11,14,26,19,10,45,77,19,4,0,0,17
"ENSG00000003249.16",66,13,30,18,24,30,12,36,12,60,61,72,12,24,24
"ENSG00000003393.17",33,10,16,53,2,52,9,17,27,25,10,3,0,21,23
"ENSG00000003400.17",30,26,37,50,29,49,13,37,48,31,56,54,12,36,56
"ENSG00000003402.22",54,43,53,104,92,217,58,162,193,214,191,174,28,199,145
"ENSG00000003436.17",197,121,112,166,188,188,136,378,464,498,488,464,99,456,302
"ENSG00000003509.17",4,1,13,12,10,1,20,1,12,10,12,14,0,1,0
"ENSG00000003989.19",0,1,0,12,1,36,12,1,1,12,1,1,0,18,0
"ENSG00000004059.12",112,70,74,119,80,170,50,128,193,194,138,122,31,127,123
"ENSG00000004142.13",28,22,10,33,26,25,14,24,31,48,27,28,1,19,16
"ENSG00000004399.14",163,97,85,105,128,121,77,144,242,214,224,127,31,143,57
"ENSG00000004455.19",204,118,89,553,324,705,177,562,778,774,616,639,147,731,617
"ENSG00000004478.9",40,34,16,32,52,21,30,21,32,51,23,38,2,16,21
