Gene,log2FC_G1G3_vs_G2G4,pvalue_ttest,direction,candidate_set
ENSG00000137221.15,3.3369265928537035,0.0009229266404338795,Up_in_G1G3,Up_in_low
ENSG00000138246.17,2.8224101831859847,0.003932788991984599,Up_in_G1G3,Up_in_low
ENSG00000103034.16,2.7643738334553922,0.01677389487129454,Up_in_G1G3,Up_in_low
ENSG00000081177.20,2.7539687453767736,0.013552225766100948,Up_in_G1G3,Up_in_low
ENSG00000121350.17,2.741487431778767,0.0029145426374979425,Up_in_G1G3,Up_in_low
ENSG00000189221.12,2.711724150330098,0.002771688961069388,Up_in_G1G3,Up_in_low
ENSG00000119682.19,2.6740209923734,0.005397903120194521,Up_in_G1G3,Up_in_low
ENSG00000105136.23,2.614907983361892,0.009936441337104723,Up_in_G1G3,Up_in_low
ENSG00000144306.16,2.5978783933025458,0.0005358402514171386,Up_in_G1G3,Up_in_low
ENSG00000064042.19,2.588674423641052,0.004660414590513292,Up_in_G1G3,Up_in_low
ENSG00000203618.7,2.5863828303493377,0.0006050427035795043,Up_in_G1G3,Up_in_low
ENSG00000197555.11,2.5194772519867303,0.017157952983202978,Up_in_G1G3,Up_in_low
ENSG00000100292.18,2.480806527617938,0.0028769594072374245,Up_in_G1G3,Up_in_low
ENSG00000163050.19,2.4643429891413424,0.005609636614860983,Up_in_G1G3,Up_in_low
ENSG00000198874.15,2.450217733653875,0.000757254575446452,Up_in_G1G3,Up_in_low
ENSG00000066422.7,2.4434453012003168,0.013400961036542772,Up_in_G1G3,Up_in_low
ENSG00000124920.15,2.4191985862237506,0.013188391652901926,Up_in_G1G3,Up_in_low
ENSG00000116396.15,2.4000424582827105,0.001749364069796359,Up_in_G1G3,Up_in_low
ENSG00000084093.20,2.366625947286809,0.01653234691612709,Up_in_G1G3,Up_in_low
ENSG00000143442.24,2.3278357787573944,0.019643993817827145,Up_in_G1G3,Up_in_low
ENSG00000168528.13,2.319493465501955,0.015915478353519585,Up_in_G1G3,Up_in_low
ENSG00000285756.3,2.2842128914465594,0.027269630819841482,Up_in_G1G3,Up_in_low
ENSG00000104133.17,2.2801196823851173,0.02802626473655259,Up_in_G1G3,Up_in_low
ENSG00000111731.14,2.2662758858218863,0.026085342449921292,Up_in_G1G3,Up_in_low
ENSG00000186815.14,2.2645696436476275,0.0135486379819805,Up_in_G1G3,Up_in_low
ENSG00000066629.20,2.2503812796025566,0.012097394612193928,Up_in_G1G3,Up_in_low
ENSG00000079337.17,2.233938420302186,0.013233727389074901,Up_in_G1G3,Up_in_low
ENSG00000124243.20,2.231958579562638,0.009138564278326025,Up_in_G1G3,Up_in_low
ENSG00000181555.23,2.2264521405741795,0.005990009948758909,Up_in_G1G3,Up_in_low
ENSG00000106261.18,2.2149778026856666,0.012618102046144867,Up_in_G1G3,Up_in_low
ENSG00000083937.10,2.198688492032454,0.03323338690192821,Up_in_G1G3,Up_in_low
ENSG00000059377.20,2.181770138869135,0.03890155082796709,Up_in_G1G3,Up_in_low
ENSG00000099330.10,2.180311942120551,0.016987942765369666,Up_in_G1G3,Up_in_low
ENSG00000143819.14,2.1606800418389196,0.003659013708196064,Up_in_G1G3,Up_in_low
ENSG00000165516.12,2.1525545747814667,0.002793693312741163,Up_in_G1G3,Up_in_low
ENSG00000196159.14,2.14660487157678,0.019317166351201513,Up_in_G1G3,Up_in_low
ENSG00000105926.17,2.1363292126696085,0.00894611401942451,Up_in_G1G3,Up_in_low
ENSG00000169554.24,2.12806450767694,0.046581651750892385,Up_in_G1G3,Up_in_low
ENSG00000009830.14,2.1200464559612358,0.016118348114084233,Up_in_G1G3,Up_in_low
ENSG00000104881.17,2.114655315920183,0.033490883356238156,Up_in_G1G3,Up_in_low
ENSG00000175352.12,2.0969272907617493,0.004656969299357821,Up_in_G1G3,Up_in_low
ENSG00000100099.23,2.0910029581082332,0.03209091723407591,Up_in_G1G3,Up_in_low
ENSG00000084676.16,2.087065035848286,0.018276581004681984,Up_in_G1G3,Up_in_low
ENSG00000165102.16,2.0869749346942936,0.013805033021194357,Up_in_G1G3,Up_in_low
ENSG00000115194.12,2.0794364374107923,0.008835011825996419,Up_in_G1G3,Up_in_low
ENSG00000008382.17,2.073622963054348,0.006722493196294345,Up_in_G1G3,Up_in_low
ENSG00000139410.16,2.069967083846971,0.019080736854436356,Up_in_G1G3,Up_in_low
ENSG00000112357.15,2.0663313029715384,0.007677476741266892,Up_in_G1G3,Up_in_low
ENSG00000003096.15,2.0653900441379482,0.036574450101415516,Up_in_G1G3,Up_in_low
ENSG00000180035.14,2.0641280881668886,0.01225608799378555,Up_in_G1G3,Up_in_low
ENSG00000118596.13,2.0590123545073373,0.029697045918001062,Up_in_G1G3,Up_in_low
ENSG00000242512.9,2.0565291469882836,0.039506471004317346,Up_in_G1G3,Up_in_low
ENSG00000141655.19,2.0542004012131585,0.004100296094351377,Up_in_G1G3,Up_in_low
ENSG00000198399.17,2.0397392005436563,0.010941849980884499,Up_in_G1G3,Up_in_low
ENSG00000293060.1,2.038515635293607,0.0004317017623926779,Up_in_G1G3,Up_in_low
ENSG00000149091.16,2.022106170798508,0.027473836891907712,Up_in_G1G3,Up_in_low
ENSG00000142197.14,2.01653277702383,0.017414461915212474,Up_in_G1G3,Up_in_low
ENSG00000198720.14,2.007054375042725,0.044244172805814795,Up_in_G1G3,Up_in_low
ENSG00000102893.19,1.9881691375843689,0.030059262776995003,Up_in_G1G3,Up_in_low
ENSG00000125967.18,1.9652625895590912,0.045250679486334974,Up_in_G1G3,Up_in_low
ENSG00000164338.11,1.964102128940522,0.03682474488423599,Up_in_G1G3,Up_in_low
ENSG00000126903.17,1.9635658541497485,0.045576527681341676,Up_in_G1G3,Up_in_low
ENSG00000110911.18,1.9622003043829512,0.03710310817073214,Up_in_G1G3,Up_in_low
ENSG00000185189.18,1.953853141745045,0.023847484010594482,Up_in_G1G3,Up_in_low
ENSG00000135919.15,1.9323821034166762,0.018047943912550962,Up_in_G1G3,Up_in_low
ENSG00000115170.16,1.9319658989114579,0.039184731314471,Up_in_G1G3,Up_in_low
ENSG00000149489.9,1.9318683765579328,0.01997800968846449,Up_in_G1G3,Up_in_low
ENSG00000163006.13,1.9221174195657171,0.041897739429248945,Up_in_G1G3,Up_in_low
ENSG00000164823.12,1.9217453124873536,0.029005039205325465,Up_in_G1G3,Up_in_low
ENSG00000242071.3,1.920891412661989,0.00258789971224979,Up_in_G1G3,Up_in_low
ENSG00000145715.16,1.9146753386015278,0.031776169079157424,Up_in_G1G3,Up_in_low
ENSG00000156504.18,1.914630712289085,0.008655816349755532,Up_in_G1G3,Up_in_low
ENSG00000100599.17,1.9118051294496197,0.007008378972716447,Up_in_G1G3,Up_in_low
ENSG00000058729.12,1.9072702166215298,0.005329095290019158,Up_in_G1G3,Up_in_low
ENSG00000138032.22,1.8988606783055617,0.026777179683966368,Up_in_G1G3,Up_in_low
ENSG00000130635.18,1.8907123260023064,0.02626803586064352,Up_in_G1G3,Up_in_low
ENSG00000225190.12,1.8900003078982417,0.00814636646596263,Up_in_G1G3,Up_in_low
ENSG00000179364.16,1.8880761289710501,0.01612014062905977,Up_in_G1G3,Up_in_low
ENSG00000117625.15,1.8848749714459472,0.014309208813033847,Up_in_G1G3,Up_in_low
